ticker,interval_minutes,aligned_bar_utc,article_count,weighted_article_count,avg_word_count,unique_sites
AAPL,5,2017-12-07T20:00:00+00:00,1,1.000000,525.00,1
AAPL,5,2017-12-11T13:30:00+00:00,1,0.069822,1322.00,1
AAPL,5,2017-12-12T13:30:00+00:00,1,0.617153,923.00,1
AAPL,5,2017-12-13T13:30:00+00:00,1,0.527879,1145.00,1
AAPL,5,2017-12-14T13:30:00+00:00,2,1.887599,292.50,1
AAPL,5,2017-12-15T13:30:00+00:00,2,1.575242,1097.50,2
AAPL,5,2017-12-18T20:05:00+00:00,1,1.000000,285.00,1
AAPL,5,2017-12-21T13:30:00+00:00,10,6.517844,769.70,4
AAPL,5,2017-12-22T13:30:00+00:00,2,1.503343,1103.50,2
AAPL,5,2017-12-26T13:30:00+00:00,2,0.594765,595.50,2
AAPL,5,2017-12-26T13:50:00+00:00,1,0.998612,788.00,1
AAPL,5,2017-12-27T13:30:00+00:00,4,2.695914,643.00,3
AAPL,5,2017-12-27T13:35:00+00:00,1,1.000000,604.00,1
AAPL,5,2017-12-28T13:30:00+00:00,15,9.701938,616.47,4
AAPL,5,2017-12-29T13:30:00+00:00,11,6.652366,638.27,3
AAPL,5,2017-12-29T13:40:00+00:00,1,1.000000,833.00,1
AAPL,5,2017-12-29T13:50:00+00:00,1,0.998612,1158.00,1
AAPL,5,2018-01-02T13:30:00+00:00,191,94.642988,617.76,66
AAPL,5,2018-01-02T13:35:00+00:00,1,0.997919,304.00,1
AAPL,5,2018-01-02T13:45:00+00:00,1,0.999306,1008.00,1
AAPL,5,2018-01-02T13:55:00+00:00,2,1.997226,634.50,2
AAPL,5,2018-01-02T14:00:00+00:00,2,1.996532,387.00,2
AAPL,5,2018-01-02T14:15:00+00:00,3,2.995838,629.33,2
AAPL,5,2018-01-02T14:25:00+00:00,1,0.997226,1169.00,1
AAPL,5,2018-01-02T14:30:00+00:00,2,2.000000,463.00,2
AAPL,5,2018-01-02T14:35:00+00:00,6,5.989596,537.50,6
AAPL,5,2018-01-02T14:40:00+00:00,2,2.000000,978.50,2
AAPL,5,2018-01-02T14:45:00+00:00,1,0.999306,771.00,1
AAPL,5,2018-01-02T14:50:00+00:00,1,1.000000,147.00,1
AAPL,5,2018-01-02T15:05:00+00:00,1,0.998612,355.00,1
AAPL,5,2018-01-02T15:20:00+00:00,2,2.000000,368.50,2
AAPL,5,2018-01-02T15:30:00+00:00,1,1.000000,697.00,1
AAPL,5,2018-01-02T15:35:00+00:00,1,0.999306,61.00,1
AAPL,5,2018-01-02T15:40:00+00:00,2,1.996532,516.00,2
AAPL,5,2018-01-02T15:50:00+00:00,1,1.000000,366.00,1
AAPL,5,2018-01-02T15:55:00+00:00,1,1.000000,452.00,1
AAPL,5,2018-01-02T16:10:00+00:00,2,1.997918,485.50,2
AAPL,5,2018-01-02T16:25:00+00:00,1,0.997919,536.00,1
AAPL,5,2018-01-02T16:40:00+00:00,1,1.000000,85.00,1
AAPL,5,2018-01-02T16:45:00+00:00,1,1.000000,526.00,1
AAPL,5,2018-01-02T16:55:00+00:00,1,0.997226,84.00,1
AAPL,5,2018-01-02T17:00:00+00:00,1,0.997226,1224.00,1
AAPL,5,2018-01-02T17:15:00+00:00,1,1.000000,921.00,1
AAPL,5,2018-01-02T17:45:00+00:00,1,1.000000,183.00,1
AAPL,5,2018-01-02T17:50:00+00:00,1,0.997919,699.00,1
AAPL,5,2018-01-02T18:00:00+00:00,1,1.000000,183.00,1
AAPL,5,2018-01-02T18:05:00+00:00,1,0.998612,468.00,1
AAPL,5,2018-01-02T18:40:00+00:00,1,0.997226,561.00,1
AAPL,5,2018-01-02T18:45:00+00:00,1,0.999306,1045.00,1
AAPL,5,2018-01-02T19:05:00+00:00,1,0.998612,116.00,1
AAPL,5,2018-01-02T19:10:00+00:00,1,0.998612,212.00,1
AAPL,5,2018-01-02T19:25:00+00:00,2,2.000000,836.00,2
AAPL,5,2018-01-02T19:35:00+00:00,1,1.000000,85.00,1
AAPL,5,2018-01-02T20:00:00+00:00,1,0.997919,17.00,1
AAPL,5,2018-01-02T20:05:00+00:00,1,0.998612,1085.00,1
