ticker,interval_minutes,date,time,timestamp_utc,open,high,low,close,volume,price_range,return_pct,sma_5,sma_10,sma_20,ema_10,volatility_10,rsi_14,target_up_next_bar,split
AAPL,60,2016-03-16,19:30:00,2016-03-16T19:30:00+00:00,106.029000,106.299000,104.439000,105.099000,4579,1.860000,,,,,105.099000,,,1,train
AAPL,60,2016-03-16,20:30:00,2016-03-16T20:30:00+00:00,105.099000,105.479000,104.969000,105.149000,164,0.510000,0.047574,,,,105.108091,,,1,train
AAPL,60,2016-03-17,12:30:00,2016-03-17T12:30:00+00:00,105.269000,105.599000,105.059000,105.289000,394,0.540000,0.133144,,,,105.140983,0.060507,,1,train
AAPL,60,2016-03-17,13:30:00,2016-03-17T13:30:00+00:00,105.479000,105.709000,104.939000,105.639000,6658,0.770000,0.332418,,,,105.231532,0.146156,,1,train
AAPL,60,2016-03-17,14:30:00,2016-03-17T14:30:00+00:00,105.609000,106.109000,105.489000,105.909000,6658,0.620000,0.255587,105.417000,,,105.354708,0.126601,,1,train
AAPL,60,2016-03-17,15:30:00,2016-03-17T15:30:00+00:00,105.919000,106.359000,105.869000,106.329000,6347,0.490000,0.396567,105.663000,,,105.531852,0.142743,,0,train
AAPL,60,2016-03-17,16:30:00,2016-03-17T16:30:00+00:00,106.319000,106.459000,105.909000,105.979000,6690,0.550000,-0.329167,105.829000,,,105.613152,0.262647,,0,train
AAPL,60,2016-03-17,17:30:00,2016-03-17T17:30:00+00:00,105.969000,106.219000,105.779000,105.919000,7231,0.440000,-0.056615,105.955000,,,105.668760,0.250943,,1,train
AAPL,60,2016-03-17,18:30:00,2016-03-17T18:30:00+00:00,105.939000,105.989000,105.539000,105.939000,6866,0.450000,0.018882,106.015000,,,105.717895,0.234617,,0,train
AAPL,60,2016-03-17,19:30:00,2016-03-17T19:30:00+00:00,105.949000,106.039000,105.669000,105.769000,4084,0.370000,-0.160470,105.987000,105.702000,,105.727187,0.235990,,1,train
AAPL,60,2016-03-17,20:30:00,2016-03-17T20:30:00+00:00,105.769000,105.849000,105.739000,105.819000,12,0.110000,0.047273,105.885000,105.774000,,105.743880,0.222619,,1,train
AAPL,60,2016-03-18,12:30:00,2016-03-18T12:30:00+00:00,106.269000,106.639000,106.079000,106.349000,314,0.560000,0.500855,105.959000,105.894000,,105.853902,0.260760,,0,train
AAPL,60,2016-03-18,13:30:00,2016-03-18T13:30:00+00:00,106.339000,106.339000,105.399000,105.729000,7236,0.940000,-0.582986,105.921000,105.938000,,105.831192,0.340894,,1,train
AAPL,60,2016-03-18,14:30:00,2016-03-18T14:30:00+00:00,105.699000,106.129000,105.589000,105.899000,7269,0.540000,0.160788,105.913000,105.964000,,105.843521,0.328766,,0,train
AAPL,60,2016-03-18,15:30:00,2016-03-18T15:30:00+00:00,105.939000,105.979000,105.629000,105.859000,6661,0.350000,-0.037772,105.931000,105.959000,,105.846335,0.318850,61.728395,0,train
AAPL,60,2016-03-18,16:30:00,2016-03-18T16:30:00+00:00,105.829000,105.879000,105.669000,105.689000,6448,0.210000,-0.160591,105.905000,105.895000,,105.817729,0.288236,58.035714,1,train
AAPL,60,2016-03-18,17:30:00,2016-03-18T17:30:00+00:00,105.709000,105.879000,105.169000,105.789000,6927,0.710000,0.094617,105.793000,105.876000,,105.812506,0.275116,57.530120,1,train
AAPL,60,2016-03-18,18:30:00,2016-03-18T18:30:00+00:00,105.789000,105.979000,105.639000,105.819000,6753,0.340000,0.028358,105.811000,105.866000,,105.813686,0.275089,53.000000,1,train
AAPL,60,2016-03-18,19:30:00,2016-03-18T19:30:00+00:00,105.859000,105.959000,105.689000,105.879000,3995,0.270000,0.056701,105.807000,105.860000,,105.825562,0.275776,49.462366,0,train
AAPL,60,2016-03-18,20:30:00,2016-03-18T20:30:00+00:00,105.879000,105.919000,105.489000,105.659000,74,0.430000,-0.207784,105.767000,105.849000,105.775500,105.795278,0.279119,37.065637,1,train
AAPL,60,2016-03-21,12:30:00,2016-03-21T12:30:00+00:00,105.609000,106.039000,105.589000,105.799000,152,0.450000,0.132502,105.789000,105.847000,105.810500,105.795954,0.282347,46.218487,1,train
