ticker,interval_minutes,split_ratio,train_rows,test_rows,train_end_utc,test_start_utc
AAPL,1440,80/20,914,229,2018-03-06T00:00:00+00:00,2018-03-07T00:00:00+00:00
AAPL,15,80/20,13996,3499,2018-08-29T14:45:00+00:00,2018-08-29T15:00:00+00:00
AAPL,240,80/20,2596,650,2018-02-28T13:30:00+00:00,2018-02-28T17:30:00+00:00
AAPL,30,80/20,8142,2036,2018-08-06T14:00:00+00:00,2018-08-06T14:30:00+00:00
AAPL,5,80/20,30907,7727,2018-10-09T12:45:00+00:00,2018-10-09T12:50:00+00:00
AAPL,60,80/20,5114,1279,2018-07-02T19:30:00+00:00,2018-07-02T20:30:00+00:00
AMZN,1440,80/20,875,219,2018-03-20T00:00:00+00:00,2018-03-21T00:00:00+00:00
AMZN,15,80/20,8987,2247,2018-10-23T13:00:00+00:00,2018-10-23T13:15:00+00:00
AMZN,240,80/20,1812,454,2018-06-07T20:30:00+00:00,2018-06-08T12:30:00+00:00
AMZN,30,80/20,5724,1431,2018-09-26T17:30:00+00:00,2018-09-26T18:00:00+00:00
AMZN,5,80/20,24226,6057,2018-10-31T19:25:00+00:00,2018-10-31T19:30:00+00:00
AMZN,60,80/20,3339,835,2018-09-13T18:30:00+00:00,2018-09-13T19:30:00+00:00
