dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM_FINBERT,0.5269830958104397,0.5264317279577722,0.5043654529634507,0.566015625,0.5161980082015232
5m_BREAKOUTS,LSTM_FINBERT,0.5706098988650775,0.5600243748691448,0.49695931518462155,0.6534161490683229,0.5389204545454546
15m_ALL,LSTM_FINBERT,0.5189257450770625,0.6013151543651127,0.5030458918709728,0.7830884987459692,0.5047347810608758
15m_BREAKOUTS,LSTM_FINBERT,0.5040613887329216,0.5953460077170941,0.5459830085753495,0.7007299270072993,0.5220472440944881
30m_ALL,LSTM_FINBERT,0.5286714115484648,0.489270340957,0.5037941058216551,0.5391465677179962,0.5155435759209344
30m_BREAKOUTS,LSTM_FINBERT,0.5808562082207367,0.4710895882729692,0.5458753053068076,0.48354430379746843,0.55
60m_ALL,LSTM_FINBERT,0.5333339757061368,0.5274483202116631,0.5078274909391455,0.5822810590631364,0.5132930513595166
60m_BREAKOUTS,LSTM_FINBERT,0.5382866208355367,0.6126713310722753,0.48170223518644184,0.8459016393442622,0.47317073170731716
240m_ALL,LSTM_FINBERT,0.5053464839139219,0.5021686774216634,0.5084226884602563,0.502713987473904,0.5145491803278689
240m_BREAKOUTS,LSTM_FINBERT,0.521875,0.47819774095636164,0.5306919121084619,0.4375,0.525
1440m_ALL,LSTM_FINBERT,0.504140762463343,0.5345624192792726,0.5071601898348816,0.5781818181818181,0.491875
1440m_BREAKOUTS,LSTM_FINBERT,0.5386666666666666,0.5588592220983526,0.648698752228164,0.5066666666666666,0.544
