dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM_FINBERT,0.523115882554945,0.5278619322947542,0.5000095412403107,0.5771334134615385,0.511291739894552
5m_BREAKOUTS,LSTM_FINBERT,0.5565851517023835,0.5598141406049086,0.48279465376307734,0.6770186335403727,0.5193181818181818
15m_ALL,LSTM_FINBERT,0.5194666468613995,0.49030450072217563,0.5141645111304027,0.4713006091006807,0.5158419366322534
15m_BREAKOUTS,LSTM_FINBERT,0.5215422047538836,0.43928053359873553,0.5694890427178464,0.35912408759124087,0.5086614173228347
30m_ALL,LSTM_FINBERT,0.5266877693955843,0.4597383548360619,0.5035814065520692,0.5664811379097092,0.5070979335130279
30m_BREAKOUTS,LSTM_FINBERT,0.5277769876262266,0.49789967813361563,0.48736406957309397,0.6177215189873417,0.5083333333333333
60m_ALL,LSTM_FINBERT,0.5287697478923411,0.564305443041339,0.5126823882679087,0.6468431771894094,0.5188318227593152
60m_BREAKOUTS,LSTM_FINBERT,0.48720253833950283,0.6582544942943003,0.5002334481882951,0.9639344262295081,0.5040650406504066
240m_ALL,LSTM_FINBERT,0.5169035087350827,0.5166879615606879,0.5083722740448832,0.5720250521920669,0.5135245901639344
240m_BREAKOUTS,LSTM_FINBERT,0.5123046875,0.4702828314788448,0.5165250391881858,0.46875,0.509375
1440m_ALL,LSTM_FINBERT,0.5102873900293255,0.48795637180404244,0.5087303596468642,0.47030303030303033,0.4931249999999999
1440m_BREAKOUTS,LSTM_FINBERT,0.5253333333333333,0.4753333333333334,0.6177777777777778,0.3866666666666666,0.488
