dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM_FINBERT,0.526096576665522,0.42243936516587655,0.5101040361820874,0.37346754807692306,0.51902460456942
5m_BREAKOUTS,LSTM_FINBERT,0.5697538291437677,0.5094830838955602,0.518900788151577,0.5136645962732919,0.5568181818181818
15m_ALL,LSTM_FINBERT,0.5192760042670888,0.40030653183929166,0.5287597740327007,0.37828735220351123,0.5156995372018512
15m_BREAKOUTS,LSTM_FINBERT,0.5144425728367334,0.380441828497694,0.553136225476651,0.345985401459854,0.5086614173228347
30m_ALL,LSTM_FINBERT,0.5294706648365185,0.5051654439616514,0.49991556966642936,0.5664811379097092,0.5149445941898771
30m_BREAKOUTS,LSTM_FINBERT,0.5590669890484995,0.4028761810107694,0.4832685171298988,0.410126582278481,0.5238095238095238
60m_ALL,LSTM_FINBERT,0.5352647454986571,0.4948865009374222,0.51762846605737,0.48920570264765784,0.5200402819738168
60m_BREAKOUTS,LSTM_FINBERT,0.5578529878371231,0.599647958043842,0.49965129660899804,0.7540983606557378,0.5024390243902439
240m_ALL,LSTM_FINBERT,0.5058341699466108,0.5198260208683138,0.4964955711381018,0.5582463465553236,0.5051229508196722
240m_BREAKOUTS,LSTM_FINBERT,0.5314453125,0.5057873134995591,0.549117699117699,0.475,0.5375
1440m_ALL,LSTM_FINBERT,0.5155190615835779,0.5259877569210628,0.5362351308869908,0.5599999999999999,0.515625
1440m_BREAKOUTS,LSTM_FINBERT,0.5586666666666668,0.5619701117183344,0.6296428571428571,0.5199999999999999,0.528
