dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM,0.5239028545673077,0.5375920041349604,0.5010402393162785,0.59921875,0.5123315758640891
5m_BREAKOUTS,LSTM,0.5479330674527485,0.5552275615121739,0.49746715116671253,0.6449367088607595,0.5301027900146844
15m_ALL,LSTM,0.5208801928782913,0.5269806270317252,0.5085301603659471,0.5918308849874597,0.509932360270559
15m_BREAKOUTS,LSTM,0.5415427882683809,0.527479185585858,0.5852165415629051,0.5114503816793894,0.5404081632653062
30m_ALL,LSTM,0.5174072733306183,0.5659794251773396,0.49019601986395067,0.7611626468769326,0.4965558550464211
30m_BREAKOUTS,LSTM,0.49635108481262324,0.5085512052079129,0.4481013431013431,0.676923076923077,0.47455621301775147
60m_ALL,LSTM,0.5351030704067641,0.3084440068030499,0.5427052841336585,0.2731160896130346,0.5201409869083584
60m_BREAKOUTS,LSTM,0.45539853024307514,0.40867723961561175,0.5074738986503693,0.40983606557377045,0.4873949579831933
240m_ALL,LSTM,0.5485976401204723,0.5619831055856629,0.5239031419349972,0.6463465553235908,0.5278688524590164
240m_BREAKOUTS,LSTM,0.5337254901960784,0.45584468163415537,0.4936904761904762,0.4933333333333333,0.534375
1440m_ALL,LSTM,0.5140488758553274,0.5248457093683039,0.4971609395579771,0.6909090909090909,0.506875
1440m_BREAKOUTS,LSTM,0.5645833333333333,0.6322966507177034,0.5820855614973264,0.7,0.590909090909091
