dataset,model,roc_auc,f1,precision,recall,accuracy
1440m_ALL,XGBoost,0.4890234059725585,0.4889867841409692,0.5091743119266054,0.4703389830508475,0.4798206278026906
1440m_ALL,LogisticRegression,0.4682808716707022,0.5671641791044776,0.5066666666666667,0.6440677966101694,0.4798206278026906
1440m_ALL,LinearSVM,0.4673325262308313,0.5568181818181818,0.5034246575342466,0.6228813559322034,0.47533632286995514
1440m_BREAKOUTS,LinearSVM,0.503968253968254,0.35714285714285715,0.7142857142857143,0.23809523809523808,0.45454545454545453
1440m_BREAKOUTS,XGBoost,0.4722222222222222,0.3870967741935484,0.6,0.2857142857142857,0.42424242424242425
1440m_BREAKOUTS,LogisticRegression,0.46825396825396826,0.4,0.6666666666666666,0.2857142857142857,0.45454545454545453
15m_ALL,LinearSVM,0.5182046350489387,0.4887998543070479,0.5104602510460251,0.4689028651292802,0.5113161559888579
15m_ALL,LogisticRegression,0.5179023903638623,0.4901603498542274,0.5121858339680122,0.4699510831586303,0.512883008356546
15m_ALL,XGBoost,0.5109412454760287,0.49566294919454773,0.5023322569070685,0.4891684136967156,0.5040041782729805
15m_BREAKOUTS,LinearSVM,0.5345992098891297,0.44144144144144143,0.550561797752809,0.3684210526315789,0.5059760956175299
15m_BREAKOUTS,LogisticRegression,0.5333248375175226,0.4434389140271493,0.5568181818181818,0.3684210526315789,0.5099601593625498
15m_BREAKOUTS,XGBoost,0.5290556900726392,0.463519313304721,0.54,0.40601503759398494,0.50199203187251
240m_ALL,LinearSVM,0.5627948190897831,0.627034677990092,0.510957324106113,0.8113553113553114,0.5217785843920145
240m_ALL,LogisticRegression,0.5615628376419743,0.6258890469416786,0.5116279069767442,0.8058608058608059,0.5226860254083484
240m_ALL,XGBoost,0.5170945661053574,0.535958904109589,0.5032154340836013,0.5732600732600732,0.5081669691470054
240m_BREAKOUTS,LinearSVM,0.5408950617283951,0.25,0.5,0.16666666666666666,0.5
240m_BREAKOUTS,XGBoost,0.5393518518518519,0.4918032786885246,0.6,0.4166666666666667,0.5694444444444444
240m_BREAKOUTS,LogisticRegression,0.5316358024691359,0.25,0.5,0.16666666666666666,0.5
30m_ALL,LogisticRegression,0.5051780712284915,0.5122905027932961,0.4826315789473684,0.5458333333333333,0.4961038961038961
30m_ALL,LinearSVM,0.503812191543284,0.5083705357142857,0.47846638655462187,0.5422619047619047,0.49148629148629147
30m_ALL,XGBoost,0.49687641723356013,0.5332618025751072,0.4853515625,0.5916666666666667,0.49783549783549785
30m_BREAKOUTS,XGBoost,0.583793012871027,0.4864864864864865,0.5373134328358209,0.4444444444444444,0.5657142857142857
30m_BREAKOUTS,LogisticRegression,0.5556868925663252,0.32432432432432434,0.6,0.2222222222222222,0.5714285714285714
30m_BREAKOUTS,LinearSVM,0.553585500394011,0.3185840707964602,0.5625,0.2222222222222222,0.56
5m_ALL,LogisticRegression,0.5205547215898412,0.49430471676477333,0.5084132725271269,0.4809580481999405,0.5200261210274271
5m_ALL,LinearSVM,0.520431790080013,0.49384227032815725,0.5082664147378365,0.48021422195775065,0.5198810042083878
5m_ALL,XGBoost,0.5193360581676336,0.5171722953634803,0.4982078853046595,0.5376376078548051,0.5103758525613119
5m_BREAKOUTS,LogisticRegression,0.5294811623195097,0.5365853658536586,0.4921052631578947,0.5899053627760252,0.5291545189504373
5m_BREAKOUTS,LinearSVM,0.5287715968642337,0.5365853658536586,0.4921052631578947,0.5899053627760252,0.5291545189504373
5m_BREAKOUTS,XGBoost,0.5033469262137416,0.5327868852459017,0.46987951807228917,0.6151419558359621,0.5014577259475219
60m_ALL,LogisticRegression,0.5298680939449489,0.5474060822898033,0.5142857142857142,0.5850860420650096,0.5208333333333334
60m_ALL,LinearSVM,0.528132723965863,0.5419470614625392,0.5105663567202029,0.5774378585086042,0.5165719696969697
60m_ALL,XGBoost,0.5233813078680867,0.5487914055505819,0.515993265993266,0.5860420650095602,0.5227272727272727
60m_BREAKOUTS,XGBoost,0.507948717948718,0.632258064516129,0.5444444444444444,0.7538461538461538,0.544
60m_BREAKOUTS,LinearSVM,0.4297435897435898,0.6514285714285715,0.5181818181818182,0.8769230769230769,0.512
60m_BREAKOUTS,LogisticRegression,0.4258974358974359,0.6514285714285715,0.5181818181818182,0.8769230769230769,0.512
