published_date_utc,article_count
2017-12-07,1
2017-12-08,1
2017-12-12,2
2017-12-14,2
2017-12-15,2
2017-12-18,1
2017-12-21,10
2017-12-22,3
2017-12-26,2
2017-12-27,5
2017-12-28,15
2017-12-29,13
2017-12-30,3
2017-12-31,14
2018-01-01,73
2018-01-02,200
2018-01-03,201
2018-01-04,193
2018-01-05,310
2018-01-06,103
2018-01-07,62
2018-01-08,198
2018-01-09,190
2018-01-10,252
2018-01-11,124
2018-01-12,143
2018-01-13,91
2018-01-14,71
2018-01-15,95
2018-01-16,132
2018-01-17,270
2018-01-18,348
2018-01-19,206
2018-01-20,95
2018-01-21,91
2018-01-22,265
2018-01-23,167
2018-01-24,282
2018-01-25,251
2018-01-26,185
2018-01-27,123
2018-01-28,87
2018-01-29,397
2018-01-30,316
2018-01-31,264
2018-02-01,446
2018-02-02,432
2018-02-03,111
2018-02-04,95
2018-02-05,295
2018-02-06,253
2018-02-07,177
2018-02-08,174
2018-02-09,119
2018-02-10,64
2018-02-11,62
2018-02-12,165
2018-02-13,155
2018-02-14,183
2018-02-15,270
2018-02-16,196
2018-02-17,61
2018-02-18,58
2018-02-19,78
2018-02-20,130
2018-02-21,171
2018-02-22,150
2018-02-23,122
2018-02-24,88
2018-02-25,76
2018-02-26,269
2018-02-27,224
2018-02-28,188
2018-03-01,229
2018-03-02,208
2018-03-03,127
2018-03-04,99
2018-03-05,223
2018-03-06,204
2018-03-07,181
2018-03-08,207
2018-03-09,166
2018-03-10,122
2018-03-11,96
2018-03-12,216
2018-03-13,226
2018-03-14,205
2018-03-15,201
2018-03-16,191
2018-03-17,120
2018-03-18,88
2018-03-19,338
2018-03-20,265
2018-03-21,233
2018-03-22,208
2018-03-23,162
2018-03-24,112
2018-03-25,120
2018-03-26,257
2018-03-27,254
2018-03-28,283
2018-03-29,241
2018-03-30,123
2018-03-31,97
2018-04-01,72
2018-04-02,300
2018-04-03,329
2018-04-04,252
2018-04-05,162
2018-04-06,243
2018-04-07,48
2018-04-08,59
2018-04-09,194
2018-04-10,172
2018-04-11,168
2018-04-12,168
2018-04-13,152
2018-04-14,71
2018-04-15,91
2018-04-16,204
2018-04-17,245
2018-04-18,234
2018-04-19,312
2018-04-20,443
2018-04-21,254
2018-04-22,191
2018-04-23,263
2018-04-24,112
2018-04-25,263
2018-04-26,278
2018-04-27,260
2018-04-28,128
2018-04-29,137
2018-04-30,338
2018-05-01,523
2018-05-02,562
2018-05-03,305
2018-05-04,542
2018-05-05,274
2018-05-06,246
2018-05-07,434
2018-05-08,332
2018-05-09,200
2018-05-10,316
2018-05-11,279
2018-05-12,206
2018-05-13,178
2018-05-14,286
2018-05-15,326
2018-05-16,417
2018-05-17,353
2018-05-18,312
2018-05-19,208
2018-05-20,198
2018-05-21,265
2018-05-22,252
2018-05-23,215
2018-05-24,252
2018-05-25,265
2018-05-26,205
2018-05-27,167
2018-05-28,154
2018-05-29,219
2018-05-30,273
2018-05-31,203
2018-06-01,243
2018-06-02,163
2018-06-03,80
2018-06-04,374
2018-06-05,512
2018-06-06,260
2018-06-07,181
2018-06-08,290
2018-06-09,76
2018-06-10,118
2018-06-11,222
2018-06-12,171
2018-06-13,167
2018-06-14,186
2018-06-15,203
2018-06-16,179
2018-06-17,150
2018-06-18,158
2018-06-19,217
2018-06-20,242
2018-06-21,109
2018-06-22,129
2018-06-23,91
2018-06-24,83
2018-06-25,151
2018-06-26,165
2018-06-27,156
2018-06-28,176
2018-06-29,168
2018-06-30,76
2018-07-01,44
2018-07-02,127
2018-07-03,137
2018-07-04,41
2018-07-05,105
2018-07-06,127
2018-07-07,70
2018-07-08,38
2018-07-09,146
2018-07-10,159
2018-07-11,169
2018-07-12,194
2018-07-13,142
2018-07-14,52
2018-07-15,73
2018-07-16,137
2018-07-17,134
2018-07-18,166
2018-07-19,143
2018-07-20,135
2018-07-21,71
2018-07-22,68
2018-07-23,138
2018-07-24,149
2018-07-25,146
2018-07-26,159
2018-07-27,157
2018-07-28,52
2018-07-29,78
2018-07-30,216
2018-07-31,363
2018-08-01,530
2018-08-02,470
2018-08-03,402
2018-08-04,123
2018-08-05,71
2018-08-06,202
2018-08-07,171
2018-08-08,128
2018-08-09,171
2018-08-10,116
2018-08-11,73
2018-08-12,43
2018-08-13,126
2018-08-14,181
2018-08-15,185
2018-08-16,122
2018-08-17,148
2018-08-18,64
2018-08-19,49
2018-08-20,145
2018-08-21,148
2018-08-22,186
2018-08-23,179
2018-08-24,121
2018-08-25,59
2018-08-26,32
2018-08-27,134
2018-08-28,122
2018-08-29,137
2018-08-30,254
2018-08-31,254
2018-09-01,71
2018-09-02,42
2018-09-03,48
2018-09-04,228
2018-09-05,153
2018-09-06,168
2018-09-07,188
2018-09-08,95
2018-09-09,79
2018-09-10,276
2018-09-11,255
2018-09-12,472
2018-09-13,435
2018-09-14,211
2018-09-15,110
2018-09-16,79
2018-09-17,290
2018-09-18,231
2018-09-19,165
2018-09-20,133
2018-09-21,191
2018-09-22,80
2018-09-23,61
2018-09-24,212
2018-09-25,201
2018-09-26,180
2018-09-27,216
2018-09-28,168
2018-09-29,42
2018-09-30,59
2018-10-01,144
2018-10-02,128
2018-10-03,146
2018-10-04,211
2018-10-05,181
2018-10-06,74
2018-10-07,47
2018-10-08,196
2018-10-09,146
2018-10-10,221
2018-10-11,262
2018-10-12,211
2018-10-13,57
2018-10-14,38
2018-10-15,173
2018-10-16,151
2018-10-17,113
2018-10-18,139
2018-10-19,137
2018-10-20,48
2018-10-21,49
2018-10-22,162
2018-10-23,137
2018-10-24,152
2018-10-25,145
2018-10-26,161
2018-10-27,66
2018-10-28,58
2018-10-29,228
2018-10-30,289
2018-10-31,181
2018-11-01,404
2018-11-02,539
2018-11-03,155
2018-11-04,101
2018-11-05,403
2018-11-06,262
2018-11-07,191
2018-11-08,176
2018-11-09,148
2018-11-10,72
2018-11-11,38
2018-11-12,321
2018-11-13,397
2018-11-14,282
2018-11-15,285
2018-11-16,153
2018-11-17,59
2018-11-18,56
2018-11-19,343
2018-11-20,486
2018-11-21,331
2018-11-22,100
2018-11-23,170
2018-11-24,75
2018-11-25,53
2018-11-26,257
2018-11-27,332
2018-11-28,247
2018-11-29,230
2018-11-30,182
2018-12-01,84
2018-12-02,63
2018-12-03,232
2018-12-04,349
2018-12-05,195
2018-12-06,297
2018-12-07,256
2018-12-08,85
2018-12-09,47
2018-12-10,412
2018-12-11,326
2018-12-12,203
2018-12-13,332
2018-12-14,281
2018-12-15,98
2018-12-16,81
2018-12-17,226
2018-12-18,175
2018-12-19,192
2018-12-20,174
2018-12-21,195
2018-12-22,75
2018-12-23,37
2018-12-24,129
2018-12-25,70
2018-12-26,175
2018-12-27,251
2018-12-28,177
2018-12-29,76
2018-12-30,75
2018-12-31,127
2019-01-01,42
2019-01-02,278
2019-01-03,1207
2019-01-04,644
2019-01-05,205
2019-01-06,147
2019-01-07,366
2019-01-08,366
2019-01-09,396
2019-01-10,215
2019-01-11,250
2019-01-12,111
2019-01-13,107
2019-01-14,286
2019-01-15,262
2019-01-16,191
2019-01-17,216
2019-01-18,190
2019-01-19,76
2019-01-20,83
2019-01-21,148
2019-01-22,178
2019-01-23,193
2019-01-24,213
2019-01-25,187
2019-01-26,81
2019-01-27,81
2019-01-28,290
2019-01-29,446
2019-01-30,582
2019-01-31,324
2019-02-01,256
2019-02-02,131
2019-02-03,110
2019-02-04,223
2019-02-05,224
2019-02-06,231
2019-02-07,136
