feature,importance
volume,0.04464599
return_pct,0.06618896
volatility_10,0.041268542
rsi_14,0.039919324
dist_to_sma_5,0.0456267
dist_to_sma_10,0.044696465
dist_to_sma_20,0.041415837
dist_to_ema_10,0.045432325
high_low_spread_pct,0.044892896
article_count,0.042550102
weighted_article_count,0.041172847
avg_word_count,0.039420616
unique_sites,0.04040807
news_volatility_interaction,0.04541226
news_momentum,0.040824343
ticker_AAPL,0.06836228
ticker_AMZN,0.0
interval_minutes_5,0.04536773
interval_minutes_15,0.05277932
interval_minutes_30,0.028210642
interval_minutes_60,0.06412652
interval_minutes_240,0.043027293
interval_minutes_1440,0.03425092
