dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM,0.5235821278331043,0.45394900755751183,0.5075208913649025,0.41060697115384615,0.518526654950205
5m_BREAKOUTS,LSTM,0.5509103520027744,0.49836065573770494,0.5170068027210885,0.4810126582278481,0.5506607929515418
15m_ALL,LSTM,0.5223198980704693,0.5802016498625114,0.5057256990679094,0.6804012898602652,0.5108579565681737
15m_BREAKOUTS,LSTM,0.5390384357841167,0.5962264150943396,0.5895522388059702,0.6030534351145038,0.563265306122449
30m_ALL,LSTM,0.514442404561867,0.32151898734177214,0.5059760956175299,0.23562152133580705,0.518418688230009
30m_BREAKOUTS,LSTM,0.45435333896872354,0.26548672566371684,0.42857142857142855,0.19230769230769232,0.5088757396449705
60m_ALL,LSTM,0.5340501537637636,0.237829209896249,0.5498154981549815,0.15173116089613034,0.5191339375629406
60m_BREAKOUTS,LSTM,0.47314867156585644,0.3404255319148936,0.48484848484848486,0.26229508196721313,0.4789915966386555
240m_ALL,LSTM,0.5529124643476727,0.5251641137855579,0.5517241379310345,0.5010438413361169,0.555327868852459
240m_BREAKOUTS,LSTM,0.5362745098039216,0.36363636363636365,0.5714285714285714,0.26666666666666666,0.5625
1440m_ALL,LSTM,0.5099511241446726,0.6054590570719603,0.5126050420168067,0.7393939393939394,0.503125
1440m_BREAKOUTS,LSTM,0.3645833333333333,0.7272727272727273,0.7058823529411765,0.75,0.5909090909090909
