dataset,model,roc_auc,f1,precision,recall,accuracy
5m_ALL,LSTM_NEWS,0.5254356541895604,0.5598937583001328,0.5016658733936221,0.6334134615384616,0.5146455770357352
5m_BREAKOUTS,LSTM_NEWS,0.5480145656320444,0.6040914560770156,0.487378640776699,0.7943037974683544,0.5168869309838473
15m_ALL,LSTM_NEWS,0.5183308773196782,0.56064,0.5065047701647876,0.6277319957004658,0.5112139551441794
15m_BREAKOUTS,LSTM_NEWS,0.5356903709655819,0.5658914728682171,0.5748031496062992,0.5572519083969466,0.5428571428571428
30m_ALL,LSTM_NEWS,0.5171973234442125,0.6276595744680851,0.48911917098445595,0.87569573283859,0.4968553459119497
30m_BREAKOUTS,LSTM_NEWS,0.5693153000845308,0.6054054054054054,0.5233644859813084,0.717948717948718,0.5680473372781065
60m_ALL,LSTM_NEWS,0.5214939630480117,0.5440613026819924,0.5135623869801085,0.5784114052953157,0.5206445115810675
60m_BREAKOUTS,LSTM_NEWS,0.397399660825325,0.627906976744186,0.4864864864864865,0.8852459016393442,0.46218487394957986
240m_ALL,LSTM_NEWS,0.5392102090623071,0.2624,0.5616438356164384,0.17118997912317327,0.5276639344262295
240m_BREAKOUTS,LSTM_NEWS,0.542156862745098,0.2631578947368421,0.625,0.16666666666666666,0.5625
1440m_ALL,LSTM_NEWS,0.5111632453567937,0.49375,0.5096774193548387,0.47878787878787876,0.49375
1440m_BREAKOUTS,LSTM_NEWS,0.65625,0.5833333333333334,0.875,0.4375,0.5454545454545454
